ID,Before
1,多到爆炸的作業永無止境的疲憊
2,之前有自己編輯過 可以更進階
3,謝謝茄子
4,看教法如何 課程太過死板就不會有想進一步了解的傾向
5,雖然對這門課沒什麼多了解基礎，但還是有一點期待
6,希望這門課單純只有教影片編輯
7,電腦不錯用
8,想自己剪出自己的影片
9,電腦操作很爛怕不會過
10,期待又怕受傷害
11,覺得不錯  可以學習一些東西
12,希望學習上不太難
13,擔心作業多會感到很疲憊
14,有學過希望可以更有進階的學習
15,課程不活潑就不會想要學習
16,沒什麼基礎，有一點期待
17,希望課程教影片編輯也交如何拍片
18,做出自己理想的作品
19,我是電腦白癡怕會被當。
20,期待又怕受傷害
21,希望有趣
22,對這門課程很感興趣
23,希望自己第一次學習時可以學到更多的知識，並且掌握清楚
24,期待能學習到一些知識，未來能夠用到這門技術
25,可以學習到更多東西，好期待。
26,有點期待
27,蠻難的，不知道以後會不會用到，成功作出來會很有成就感
28,有一點點的害怕跟焦慮，沒有學過的科目。
29,對課程非常感興趣
30,這是自己第一次學習影片編輯希望可以學到更多的知識並且掌握清楚
31,期待能學習到一些知識，以後能夠應用到這門技術。
32,期待
33,感覺很難，但作出成品應該會非常有成就感
34,覺得不錯  可以學習一些東西
35,有點興趣
36,希望時間可以多一點來學習
